id	difficulty	category	question	answer1	answer2	answer3	answer4	correct	explanation	reference
curated-017	difícil	Jesus	Em qual aldeia Jesus encontrou dois discípulos após ressuscitar?	Betânia	Emaús	Caná	Naim	1	Dois discípulos caminhavam para Emaús.	Lucas 24:13-35
curated-018	difícil	Jesus	Qual discípulo perguntou: Senhor, mostra-nos o Pai?	Filipe	André	Mateus	Tiago	0	Filipe fez a pergunta durante o ensino de Jesus.	João 14:8
curated-019	fácil	personagens	Quem enfrentou Golias?	Saul	Samuel	Davi	Salomão	2	Davi enfrentou o guerreiro filisteu.	1 Samuel 17
curated-020	fácil	personagens	Quem foi lançado numa cova de leões?	Daniel	José	Elias	Neemias	0	Daniel foi preservado na cova dos leões.	Daniel 6
curated-021	médio	personagens	Quem interpretou sonhos no Egito e se tornou governador?	Daniel	José	Neemias	Esdras	1	José interpretou os sonhos de Faraó.	Gênesis 41
curated-022	médio	personagens	Qual mulher se tornou rainha e intercedeu por seu povo?	Rute	Débora	Ester	Miriã	2	Ester arriscou a vida ao procurar o rei.	Ester 4-7
curated-023	difícil	personagens	Quem ajudou Paulo e Silas a sair da prisão em Filipos?	Um terremoto	Barnabé	Um anjo	O governador	0	Um terremoto abriu as portas e soltou as correntes.	Atos 16:25-26
curated-024	difícil	personagens	Qual juiz fez um voto precipitado envolvendo sua filha?	Gideão	Sansão	Jefté	Otniel	2	Jefté fez um voto antes da batalha contra os amonitas.	Juízes 11
curated-025	fácil	livros da Bíblia	Qual é o primeiro livro da Bíblia?	Êxodo	Gênesis	Salmos	Mateus	1	Gênesis abre a ordem bíblica comum.	Gênesis 1
curated-026	fácil	livros da Bíblia	Qual é o último livro do Novo Testamento?	Judas	Hebreus	Apocalipse	Atos	2	Apocalipse encerra o cânon do Novo Testamento.	Apocalipse 1
curated-027	médio	livros da Bíblia	Qual livro vem depois de Atos?	Hebreus	Romanos	João	Tiago	1	Romanos segue Atos na ordem canônica comum.	Romanos 1
curated-028	médio	livros da Bíblia	Quantos Evangelhos há no Novo Testamento?	Três	Quatro	Cinco	Doze	1	Mateus, Marcos, Lucas e João são os quatro Evangelhos.	Mateus 1
curated-029	difícil	livros da Bíblia	Qual livro do Antigo Testamento não menciona explicitamente o nome de Deus?	Ester	Rute	Neemias	Cantares	0	Ester narra a preservação dos judeus sem mencionar explicitamente o nome de Deus.	Ester 1
curated-030	difícil	livros da Bíblia	Qual é a carta mais curta de Paulo em número de versículos?	Tito	Filemom	2 Timóteo	Gálatas	1	Filemom possui apenas um capítulo e vinte e cinco versículos.	Filemom 1
curated-031	fácil	perguntas gerais	Qual oração Jesus ensinou como modelo aos discípulos?	O Pai Nosso	O cântico de Maria	O Salmo 23	A oração de Jabez	0	Jesus apresentou um modelo conhecido como Pai Nosso.	Mateus 6:9-13
curated-032	fácil	perguntas gerais	Qual é o maior mandamento segundo Jesus?	Amar a Deus	Guardar o sábado	Jejuar	Dar ofertas	0	Jesus ensinou a amar a Deus de todo o coração.	Mateus 22:36-38
curated-033	médio	perguntas gerais	Em qual cidade os discípulos foram chamados cristãos pela primeira vez?	Éfeso	Corinto	Antioquia	Jerusalém	2	O nome aparece ligado à comunidade de Antioquia.	Atos 11:26
curated-034	médio	perguntas gerais	Qual capítulo é conhecido como o capítulo do amor?	Romanos 8	1 Coríntios 13	Hebreus 11	Salmos 119	1	Paulo descreve a primazia e as características do amor.	1 Coríntios 13
curated-035	difícil	perguntas gerais	Qual casal morreu após mentir sobre o valor de uma propriedade?	Áquila e Priscila	Herodes e Herodias	Ananias e Safira	Félix e Drusila	2	Ananias e Safira mentiram sobre a oferta apresentada.	Atos 5:1-11
curated-036	difícil	perguntas gerais	Qual igreja do Apocalipse foi chamada de morna?	Éfeso	Esmirna	Filadélfia	Laodiceia	3	A mensagem a Laodiceia repreende sua condição morna.	Apocalipse 3:14-22
testament-01	fácil	estrutura da Bíblia	A qual Testamento pertence Gênesis?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Gênesis pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Gênesis
chapters-01	difícil	estrutura da Bíblia	Quantos capítulos possui Gênesis?	50	49	51	55	0	Gênesis possui 50 capítulos.	Estrutura de Gênesis
next-01	médio	ordem bíblica	Qual livro vem imediatamente depois de Gênesis?	1 Samuel	Eclesiastes	Malaquias	Êxodo	3	Êxodo vem depois de Gênesis na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-02	fácil	estrutura da Bíblia	A qual Testamento pertence Êxodo?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Êxodo pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Êxodo
chapters-02	difícil	estrutura da Bíblia	Quantos capítulos possui Êxodo?	39	41	45	40	3	Êxodo possui 40 capítulos.	Estrutura de Êxodo
next-02	médio	ordem bíblica	Qual livro vem imediatamente depois de Êxodo?	Cântico dos Cânticos	Mateus	Levítico	2 Samuel	2	Levítico vem depois de Êxodo na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-02	médio	ordem bíblica	Qual livro vem imediatamente antes de Êxodo?	Gênesis	Rute	Provérbios	Zacarias	0	Gênesis vem antes de Êxodo na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-03	fácil	estrutura da Bíblia	A qual Testamento pertence Levítico?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Levítico pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Levítico
chapters-03	difícil	estrutura da Bíblia	Quantos capítulos possui Levítico?	28	32	27	26	2	Levítico possui 27 capítulos.	Estrutura de Levítico
next-03	médio	ordem bíblica	Qual livro vem imediatamente depois de Levítico?	Marcos	Números	1 Reis	Isaías	1	Números vem depois de Levítico na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-03	médio	ordem bíblica	Qual livro vem imediatamente antes de Levítico?	1 Samuel	Eclesiastes	Malaquias	Êxodo	3	Êxodo vem antes de Levítico na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-04	fácil	estrutura da Bíblia	A qual Testamento pertence Números?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Números pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Números
chapters-04	difícil	estrutura da Bíblia	Quantos capítulos possui Números?	41	36	35	37	1	Números possui 36 capítulos.	Estrutura de Números
next-04	médio	ordem bíblica	Qual livro vem imediatamente depois de Números?	Deuteronômio	2 Reis	Jeremias	Lucas	0	Deuteronômio vem depois de Números na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-04	médio	ordem bíblica	Qual livro vem imediatamente antes de Números?	Cântico dos Cânticos	Mateus	Levítico	2 Samuel	2	Levítico vem antes de Números na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-05	fácil	estrutura da Bíblia	A qual Testamento pertence Deuteronômio?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Deuteronômio pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Deuteronômio
chapters-05	difícil	estrutura da Bíblia	Quantos capítulos possui Deuteronômio?	34	33	35	39	0	Deuteronômio possui 34 capítulos.	Estrutura de Deuteronômio
next-05	médio	ordem bíblica	Qual livro vem imediatamente depois de Deuteronômio?	1 Crônicas	Lamentações	João	Josué	3	Josué vem depois de Deuteronômio na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-05	médio	ordem bíblica	Qual livro vem imediatamente antes de Deuteronômio?	Marcos	Números	1 Reis	Isaías	1	Números vem antes de Deuteronômio na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-06	fácil	estrutura da Bíblia	A qual Testamento pertence Josué?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Josué pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Josué
chapters-06	difícil	estrutura da Bíblia	Quantos capítulos possui Josué?	23	25	29	24	3	Josué possui 24 capítulos.	Estrutura de Josué
next-06	médio	ordem bíblica	Qual livro vem imediatamente depois de Josué?	Ezequiel	Atos	Juízes	2 Crônicas	2	Juízes vem depois de Josué na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-06	médio	ordem bíblica	Qual livro vem imediatamente antes de Josué?	Deuteronômio	2 Reis	Jeremias	Lucas	0	Deuteronômio vem antes de Josué na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-07	fácil	estrutura da Bíblia	A qual Testamento pertence Juízes?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Juízes pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Juízes
chapters-07	difícil	estrutura da Bíblia	Quantos capítulos possui Juízes?	22	26	21	20	2	Juízes possui 21 capítulos.	Estrutura de Juízes
next-07	médio	ordem bíblica	Qual livro vem imediatamente depois de Juízes?	Romanos	Rute	Esdras	Daniel	1	Rute vem depois de Juízes na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-07	médio	ordem bíblica	Qual livro vem imediatamente antes de Juízes?	1 Crônicas	Lamentações	João	Josué	3	Josué vem antes de Juízes na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-08	fácil	estrutura da Bíblia	A qual Testamento pertence Rute?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Rute pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Rute
chapters-08	difícil	estrutura da Bíblia	Quantos capítulos possui Rute?	6	4	3	5	1	Rute possui 4 capítulos.	Estrutura de Rute
next-08	médio	ordem bíblica	Qual livro vem imediatamente depois de Rute?	1 Samuel	Neemias	Oseias	1 Coríntios	0	1 Samuel vem depois de Rute na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-08	médio	ordem bíblica	Qual livro vem imediatamente antes de Rute?	Ezequiel	Atos	Juízes	2 Crônicas	2	Juízes vem antes de Rute na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-09	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Samuel?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	1 Samuel pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Samuel
chapters-09	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Samuel?	31	30	32	36	0	1 Samuel possui 31 capítulos.	Estrutura de 1 Samuel
next-09	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Samuel?	Ester	Joel	2 Coríntios	2 Samuel	3	2 Samuel vem depois de 1 Samuel na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-09	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Samuel?	Romanos	Rute	Esdras	Daniel	1	Rute vem antes de 1 Samuel na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-10	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Samuel?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	2 Samuel pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Samuel
chapters-10	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Samuel?	23	25	29	24	3	2 Samuel possui 24 capítulos.	Estrutura de 2 Samuel
next-10	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Samuel?	Amós	Gálatas	1 Reis	Jó	2	1 Reis vem depois de 2 Samuel na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-10	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Samuel?	1 Samuel	Neemias	Oseias	1 Coríntios	0	1 Samuel vem antes de 2 Samuel na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-11	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Reis?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	1 Reis pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Reis
chapters-11	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Reis?	23	27	22	21	2	1 Reis possui 22 capítulos.	Estrutura de 1 Reis
next-11	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Reis?	Efésios	2 Reis	Salmos	Obadias	1	2 Reis vem depois de 1 Reis na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-11	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Reis?	Ester	Joel	2 Coríntios	2 Samuel	3	2 Samuel vem antes de 1 Reis na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-12	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Reis?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	2 Reis pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Reis
chapters-12	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Reis?	30	25	24	26	1	2 Reis possui 25 capítulos.	Estrutura de 2 Reis
next-12	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Reis?	1 Crônicas	Provérbios	Jonas	Filipenses	0	1 Crônicas vem depois de 2 Reis na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-12	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Reis?	Amós	Gálatas	1 Reis	Jó	2	1 Reis vem antes de 2 Reis na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-13	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Crônicas?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	1 Crônicas pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Crônicas
chapters-13	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Crônicas?	29	28	30	34	0	1 Crônicas possui 29 capítulos.	Estrutura de 1 Crônicas
next-13	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Crônicas?	Eclesiastes	Miqueias	Colossenses	2 Crônicas	3	2 Crônicas vem depois de 1 Crônicas na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-13	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Crônicas?	Efésios	2 Reis	Salmos	Obadias	1	2 Reis vem antes de 1 Crônicas na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-14	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Crônicas?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	2 Crônicas pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Crônicas
chapters-14	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Crônicas?	35	37	41	36	3	2 Crônicas possui 36 capítulos.	Estrutura de 2 Crônicas
next-14	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Crônicas?	Naum	1 Tessalonicenses	Esdras	Cântico dos Cânticos	2	Esdras vem depois de 2 Crônicas na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-14	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Crônicas?	1 Crônicas	Provérbios	Jonas	Filipenses	0	1 Crônicas vem antes de 2 Crônicas na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-15	fácil	estrutura da Bíblia	A qual Testamento pertence Esdras?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Esdras pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Esdras
chapters-15	difícil	estrutura da Bíblia	Quantos capítulos possui Esdras?	11	15	10	9	2	Esdras possui 10 capítulos.	Estrutura de Esdras
next-15	médio	ordem bíblica	Qual livro vem imediatamente depois de Esdras?	2 Tessalonicenses	Neemias	Isaías	Habacuque	1	Neemias vem depois de Esdras na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-15	médio	ordem bíblica	Qual livro vem imediatamente antes de Esdras?	Eclesiastes	Miqueias	Colossenses	2 Crônicas	3	2 Crônicas vem antes de Esdras na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-16	fácil	estrutura da Bíblia	A qual Testamento pertence Neemias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Neemias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Neemias
chapters-16	difícil	estrutura da Bíblia	Quantos capítulos possui Neemias?	18	13	12	14	1	Neemias possui 13 capítulos.	Estrutura de Neemias
next-16	médio	ordem bíblica	Qual livro vem imediatamente depois de Neemias?	Ester	Jeremias	Sofonias	1 Timóteo	0	Ester vem depois de Neemias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-16	médio	ordem bíblica	Qual livro vem imediatamente antes de Neemias?	Naum	1 Tessalonicenses	Esdras	Cântico dos Cânticos	2	Esdras vem antes de Neemias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-17	fácil	estrutura da Bíblia	A qual Testamento pertence Ester?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Ester pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Ester
chapters-17	difícil	estrutura da Bíblia	Quantos capítulos possui Ester?	10	9	11	15	0	Ester possui 10 capítulos.	Estrutura de Ester
next-17	médio	ordem bíblica	Qual livro vem imediatamente depois de Ester?	Lamentações	Ageu	2 Timóteo	Jó	3	Jó vem depois de Ester na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-17	médio	ordem bíblica	Qual livro vem imediatamente antes de Ester?	2 Tessalonicenses	Neemias	Isaías	Habacuque	1	Neemias vem antes de Ester na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-18	fácil	estrutura da Bíblia	A qual Testamento pertence Jó?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Jó pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Jó
chapters-18	difícil	estrutura da Bíblia	Quantos capítulos possui Jó?	41	43	47	42	3	Jó possui 42 capítulos.	Estrutura de Jó
next-18	médio	ordem bíblica	Qual livro vem imediatamente depois de Jó?	Zacarias	Tito	Salmos	Ezequiel	2	Salmos vem depois de Jó na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-18	médio	ordem bíblica	Qual livro vem imediatamente antes de Jó?	Ester	Jeremias	Sofonias	1 Timóteo	0	Ester vem antes de Jó na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-19	fácil	estrutura da Bíblia	A qual Testamento pertence Salmos?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Salmos pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Salmos
chapters-19	difícil	estrutura da Bíblia	Quantos capítulos possui Salmos?	151	155	150	149	2	Salmos possui 150 capítulos.	Estrutura de Salmos
next-19	médio	ordem bíblica	Qual livro vem imediatamente depois de Salmos?	Filemom	Provérbios	Daniel	Malaquias	1	Provérbios vem depois de Salmos na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-19	médio	ordem bíblica	Qual livro vem imediatamente antes de Salmos?	Lamentações	Ageu	2 Timóteo	Jó	3	Jó vem antes de Salmos na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-20	fácil	estrutura da Bíblia	A qual Testamento pertence Provérbios?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Provérbios pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Provérbios
chapters-20	difícil	estrutura da Bíblia	Quantos capítulos possui Provérbios?	36	31	30	32	1	Provérbios possui 31 capítulos.	Estrutura de Provérbios
next-20	médio	ordem bíblica	Qual livro vem imediatamente depois de Provérbios?	Eclesiastes	Oseias	Mateus	Hebreus	0	Eclesiastes vem depois de Provérbios na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-20	médio	ordem bíblica	Qual livro vem imediatamente antes de Provérbios?	Zacarias	Tito	Salmos	Ezequiel	2	Salmos vem antes de Provérbios na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-21	fácil	estrutura da Bíblia	A qual Testamento pertence Eclesiastes?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Eclesiastes pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Eclesiastes
chapters-21	difícil	estrutura da Bíblia	Quantos capítulos possui Eclesiastes?	12	11	13	17	0	Eclesiastes possui 12 capítulos.	Estrutura de Eclesiastes
next-21	médio	ordem bíblica	Qual livro vem imediatamente depois de Eclesiastes?	Joel	Marcos	Tiago	Cântico dos Cânticos	3	Cântico dos Cânticos vem depois de Eclesiastes na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-21	médio	ordem bíblica	Qual livro vem imediatamente antes de Eclesiastes?	Filemom	Provérbios	Daniel	Malaquias	1	Provérbios vem antes de Eclesiastes na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-22	fácil	estrutura da Bíblia	A qual Testamento pertence Cântico dos Cânticos?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Cântico dos Cânticos pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Cântico dos Cânticos
chapters-22	difícil	estrutura da Bíblia	Quantos capítulos possui Cântico dos Cânticos?	7	9	13	8	3	Cântico dos Cânticos possui 8 capítulos.	Estrutura de Cântico dos Cânticos
next-22	médio	ordem bíblica	Qual livro vem imediatamente depois de Cântico dos Cânticos?	Lucas	1 Pedro	Isaías	Amós	2	Isaías vem depois de Cântico dos Cânticos na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-22	médio	ordem bíblica	Qual livro vem imediatamente antes de Cântico dos Cânticos?	Eclesiastes	Oseias	Mateus	Hebreus	0	Eclesiastes vem antes de Cântico dos Cânticos na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-23	fácil	estrutura da Bíblia	A qual Testamento pertence Isaías?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Isaías pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Isaías
chapters-23	difícil	estrutura da Bíblia	Quantos capítulos possui Isaías?	67	71	66	65	2	Isaías possui 66 capítulos.	Estrutura de Isaías
next-23	médio	ordem bíblica	Qual livro vem imediatamente depois de Isaías?	2 Pedro	Jeremias	Obadias	João	1	Jeremias vem depois de Isaías na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-23	médio	ordem bíblica	Qual livro vem imediatamente antes de Isaías?	Joel	Marcos	Tiago	Cântico dos Cânticos	3	Cântico dos Cânticos vem antes de Isaías na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-24	fácil	estrutura da Bíblia	A qual Testamento pertence Jeremias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Jeremias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Jeremias
chapters-24	difícil	estrutura da Bíblia	Quantos capítulos possui Jeremias?	57	52	51	53	1	Jeremias possui 52 capítulos.	Estrutura de Jeremias
next-24	médio	ordem bíblica	Qual livro vem imediatamente depois de Jeremias?	Lamentações	Jonas	Atos	1 João	0	Lamentações vem depois de Jeremias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-24	médio	ordem bíblica	Qual livro vem imediatamente antes de Jeremias?	Lucas	1 Pedro	Isaías	Amós	2	Isaías vem antes de Jeremias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-25	fácil	estrutura da Bíblia	A qual Testamento pertence Lamentações?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Lamentações pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Lamentações
chapters-25	difícil	estrutura da Bíblia	Quantos capítulos possui Lamentações?	5	4	6	7	0	Lamentações possui 5 capítulos.	Estrutura de Lamentações
next-25	médio	ordem bíblica	Qual livro vem imediatamente depois de Lamentações?	Miqueias	Romanos	2 João	Ezequiel	3	Ezequiel vem depois de Lamentações na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-25	médio	ordem bíblica	Qual livro vem imediatamente antes de Lamentações?	2 Pedro	Jeremias	Obadias	João	1	Jeremias vem antes de Lamentações na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-26	fácil	estrutura da Bíblia	A qual Testamento pertence Ezequiel?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Ezequiel pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Ezequiel
chapters-26	difícil	estrutura da Bíblia	Quantos capítulos possui Ezequiel?	47	49	53	48	3	Ezequiel possui 48 capítulos.	Estrutura de Ezequiel
next-26	médio	ordem bíblica	Qual livro vem imediatamente depois de Ezequiel?	1 Coríntios	3 João	Daniel	Naum	2	Daniel vem depois de Ezequiel na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-26	médio	ordem bíblica	Qual livro vem imediatamente antes de Ezequiel?	Lamentações	Jonas	Atos	1 João	0	Lamentações vem antes de Ezequiel na ordem bíblica comum.	Ordem canônica dos 66 livros
